address,district,area,bedrooms,garage,rent,total,zone,type_Apartamento,type_Casa,type_Casa em condomínio,type_Studio e kitnet
Rua Torquato Tasso,Vila Prudente,60,2,0,1700,1773,Leste,False,True,False,False
Avenida Julio Prestes,Outros,65,2,1,1500,2110,Outro,True,False,False,False
Rua Arnaldo Cintra,Outros,50,2,1,2500,2950,Outro,True,False,False,False
Rua Maranjai,Vila Monumento,32,1,0,750,782,Outro,False,True,False,False
Rua Oscar Cintra Gordinho,Liberdade,25,1,0,850,1102,Centro,False,False,False,True
Rua Manuel Leiroz,Outros,31,1,0,1500,1928,Outro,True,False,False,False
Rua Itapeti,Vila Alpina,42,1,1,1600,2066,Outro,True,False,False,False
Rua Helena Zerrener,Liberdade,23,1,0,753,1162,Centro,False,False,False,True
Rua Antonieta,Outros,60,2,1,1700,1857,Outro,False,True,False,False
Rua Natividade Saldanha,Outros,22,0,0,900,1126,Outro,False,False,False,True
Rua Virginopolis,Sacoma,80,2,1,2426,2529,Outro,False,True,False,False
Avenida Joaquina Ramalho,Vila Guilherme,34,1,0,1250,1416,Norte,False,False,False,True
Rua Coronel Mursa,Bras,19,1,0,1700,2016,Outro,False,False,False,True
Rua da Gloria,Liberdade,28,1,0,2000,2327,Centro,False,False,False,True
Rua Sete Barras,Outros,70,2,1,3218,3832,Outro,True,False,False,False
Rua Doutor Raul da Rocha Medeiros,Tatuape,52,2,1,3800,4672,Outro,True,False,False,False
Rua Alencar Araripe,Sacoma,50,2,1,1712,2486,Outro,True,False,False,False
Rua Conego Vicente Miguel Marino,Barra Funda,38,1,1,2400,2953,Oeste,True,False,False,False
Rua Doutor Fleury Silveira,Outros,23,1,1,700,855,Outro,False,True,False,False
Rua Herminio Lemos,Cambuci,15,1,0,1150,1194,Centro,False,False,False,True
Rua Doutor Bento Teobaldo Ferraz,Outros,31,1,0,2100,2429,Outro,True,False,False,False
Avenida Doutor Bernardino Brito Fonseca de Carvalho,Outros,62,3,1,1700,2217,Outro,True,False,False,False
Rua do Tatuape,Outros,32,1,0,1550,1795,Outro,True,False,False,False
Rua Monsenhor Francisco de Paula,Vila Aricanduva,46,2,0,1799,1928,Outro,True,False,False,False
Rua Doutor Artur Rudge Ramos,Outros,98,2,1,1700,1841,Outro,False,True,False,False
Rua Marques Marica,Sacoma,38,1,0,1030,1053,Outro,False,False,False,True
Rua Nossa Senhora Acheropita,Outros,42,1,1,1600,1715,Outro,False,True,False,False
Rua Tanque Velho,Outros,42,2,0,1500,1625,Outro,False,False,True,False
Avenida dos Ourives,Outros,41,2,0,1300,1750,Outro,True,False,False,False
Rua Olimpio Portugal,Mooca,38,1,1,1550,1913,Leste,True,False,False,False
Avenida Monteiro Lobato,Outros,28,1,1,2100,2495,Outro,False,False,False,True
Rua Abrahao Calux,Outros,59,2,1,2200,2861,Outro,True,False,False,False
Avenida Prestes Maia,Centro,37,1,0,1100,1918,Outro,False,False,False,True
Rua Fonseca da Costa,Bosque da Saude,209,3,2,6000,6674,Outro,False,True,False,False
Rua Afonso Morsch,Vila Constanca,75,2,1,4000,4067,Outro,False,False,True,False
Rua Bartholomeu do Canto,Vila Palmeiras,31,1,0,1700,2166,Outro,True,False,False,False
Rua Natividade Saldanha,Outros,19,0,0,850,1052,Outro,False,False,False,True
Rua Antonio Gomes Ferreira,Outros,32,2,0,1100,1492,Outro,True,False,False,False
Rua Jovina Maria de Jesus,Jardim das Acacias,209,4,2,6950,7722,Outro,False,True,False,False
Rua Capitao Avelino Carneiro,Penha de Franca,37,1,0,1490,2017,Outro,True,False,False,False
Rua Maria Jose Rangel,Outros,65,2,1,2200,2293,Outro,False,True,False,False
Rua Doutor Ferreira Lopes,Outros,70,3,2,2100,3315,Outro,True,False,False,False
Rua Edmundo Luis de Nobrega Teixeira,Outros,114,4,2,3500,3998,Outro,False,True,False,False
Rua Oscar Freire,Cerqueira Cesar,55,2,0,3950,5097,Outro,True,False,False,False
Rua Almirante Brasil,Mooca,50,2,1,1700,2424,Leste,True,False,False,False
Avenida Yervant Kissajikian,Vila Constanca,59,3,1,2100,2573,Outro,True,False,False,False
Rua Professor Jose Miziara,Santa Teresinha,55,2,1,1900,2532,Outro,True,False,False,False
Avenida Diogenes Ribeiro de Lima,Outros,70,2,1,2450,2955,Outro,True,False,False,False
Rua Iguare,Tatuape,54,2,1,1400,2069,Outro,True,False,False,False
Rua Diogo de Oliveira,Outros,50,2,0,1590,1852,Outro,True,False,False,False
Rua Votupoca,Vila Ipojuca,90,4,2,4200,5668,Outro,True,False,False,False
Rua Doutor Bento Teobaldo Ferraz,Outros,30,1,0,2122,2453,Outro,True,False,False,False
Avenida Miguel Frias E Vasconcelos,Jaguare,80,2,0,3200,4187,Outro,True,False,False,False
Avenida Santa Marina,Agua Branca,78,2,2,4000,4712,Outro,True,False,False,False
Rua Erva Imperial,Vila Alpina,45,2,1,1404,1853,Outro,True,False,False,False
Rua Ponte Pensa,Parada Inglesa,37,2,0,1650,1949,Outro,True,False,False,False
Rua Speers,Outros,15,1,0,950,1487,Outro,False,False,False,True
Rua Joao Adolfo,Centro,26,1,0,1750,2194,Outro,False,False,False,True
Rua Bento Freitas,Republica,29,1,0,1300,1682,Outro,False,False,False,True
Rua Jesuino Rabello,Outros,60,2,1,1683,2159,Outro,True,False,False,False
Avenida Bartholomeu de Carlos,Outros,38,1,1,1554,2238,Outro,False,False,False,True
Rua Coronel Deraldo Jordao,Ipiranga,120,3,3,5500,5962,Sul,False,True,False,False
Rua Bela Cintra,Consolacao,55,1,0,3899,4467,Outro,True,False,False,False
Avenida Benigno Carrera,Outros,35,1,0,874,961,Outro,False,True,False,False
Avenida Tiradentes,Outros,48,2,1,2860,3406,Outro,True,False,False,False
Rua do Chico Nunes,Vila Andrade,36,2,0,980,1138,Sul,True,False,False,False
Rua Frei Gaspar,Mooca,33,1,0,3100,3600,Leste,True,False,False,False
Rua Manuel Dias de Oliveira,Outros,40,2,0,1101,1443,Outro,True,False,False,False
Rua Pedro de Melo Sousa,Outros,39,1,0,938,1019,Outro,False,True,False,False
Rua Joaquim Oliveira Freitas,Outros,51,2,1,920,1572,Outro,True,False,False,False
Avenida Senador Jose Ermirio de Moraes,Outros,62,2,1,2300,2952,Outro,True,False,False,False
Rua Domingos Lopes da Silva,Vila Suzana,35,1,1,959,1840,Outro,True,False,False,False
Avenida Ipiranga,Republica,29,1,0,1725,2142,Outro,False,False,False,True
Rua Porto de Palos,Outros,41,2,0,1000,1408,Outro,True,False,False,False
Rua Fernando Dondon,Tatuape,24,1,0,1600,1964,Outro,False,False,False,True
Rua Tenente-coronel Soares Neiva,Vila Aricanduva,37,2,0,1500,1728,Outro,True,False,False,False
Rua Conselheiro Ramalho,Bela Vista,26,1,0,1953,2338,Centro,False,False,False,True
Rua Tome de Lara,Tucuruvi,41,2,0,1800,2019,Norte,True,False,False,False
Rua Conselheiro Lafaiette,Mooca,30,1,0,1635,2033,Leste,True,False,False,False
Rua Barao de Campinas,Campos Eliseos,12,1,0,900,1125,Outro,False,False,False,True
Rua Maria Zelia,Piqueri,41,1,1,1550,1624,Outro,False,True,False,False
Rua Ribeiro Marcondes,Vila Prudente,32,1,0,1350,1502,Leste,False,False,False,True
Avenida Ajarani,Cidade Patriarca,44,2,1,1800,2527,Outro,True,False,False,False
Rua Antonio de Macedo Soares,Campo Belo,50,1,1,3350,4029,Sul,True,False,False,False
Rua Martins Fontes,Centro,30,1,0,2600,3100,Outro,True,False,False,False
Avenida Rubens Fraga de Toledo Arruda,Outros,46,2,0,1400,1758,Outro,True,False,False,False
Avenida Nossa Senhora do Sabara,Outros,69,2,1,2170,3053,Outro,True,False,False,False
Rua Raul Bispo dos Santos,Outros,60,1,0,1100,1156,Outro,False,True,False,False
Alameda Barros,Santa Cecilia,30,1,0,2327,2767,Outro,False,False,False,True
Avenida Aparecida do Rio Negro,Outros,43,2,1,1732,2078,Outro,True,False,False,False
Rua Desembargador Aragao,Vila Mariana,40,1,1,4900,5471,Sul,False,False,False,True
Rua Brigadeiro Tobias,Centro Historico de Sao Paulo,32,1,0,2000,2754,Outro,False,False,False,True
Rua Antonio Gomes Ferreira,Sacoma,32,2,0,1350,1652,Outro,True,False,False,False
Rua Iquiririm,Outros,28,1,0,1426,1928,Outro,False,False,False,True
Rua Anhanguera,Barra Funda,69,2,2,5390,6182,Oeste,True,False,False,False
Rua Manuel Leiroz,Outros,41,2,0,1500,1958,Outro,True,False,False,False
Praca Doutor Mario Margarido,Liberdade,30,1,0,1092,1474,Centro,True,False,False,False
Rua Jose Arzao,Vila Andrade,51,2,0,2480,3529,Sul,True,False,False,False
Avenida Padre Arlindo Vieira,Outros,71,3,2,1900,2941,Outro,True,False,False,False
Rua Luis Filipe Alberti,Outros,41,2,1,1400,1951,Outro,True,False,False,False
Rua Augusto Farina,Outros,30,1,0,1260,1338,Outro,False,False,False,True
Rua Joao Jose Pacheco,Outros,22,0,0,2200,2808,Outro,False,False,False,True
Rua Coronel Mursa,Bras,20,1,1,2600,2886,Outro,True,False,False,False
Rua Pangare,Outros,38,2,1,1995,2572,Outro,True,False,False,False
Rua Bartholomeu do Canto,Vila Palmeiras,34,2,0,1400,1754,Outro,True,False,False,False
Avenida do Cursino,Vila Gumercindo,72,3,2,4000,4154,Outro,True,False,False,False
Avenida Paes de Barros,Mooca,98,3,1,3000,3889,Leste,True,False,False,False
Avenida Engenheiro Thomaz Magalhaes,Outros,55,2,1,1750,2168,Outro,True,False,False,False
Rua Bento Vieira,Ipiranga,55,2,1,2350,3310,Sul,True,False,False,False
Rua Oscar Freire,Pinheiros,19,1,0,3400,3905,Oeste,False,False,False,True
Rua Francisco Luiz de Souza Junior,Agua Branca,44,2,0,1750,2178,Outro,True,False,False,False
Rua Heitor Penteado,Sumarezinho,55,2,1,2300,3039,Outro,True,False,False,False
Rua Henrique Sertorio,Tatuape,24,1,0,1900,2430,Outro,False,False,False,True
Largo do Arouche,Republica,30,1,0,2390,3113,Outro,False,False,False,True
Rua Alfredo Pujol,Santana,26,1,0,2500,2940,Norte,False,False,False,True
Rua Gravi,Vila da Saude,35,1,0,1400,1424,Outro,False,True,False,False
Rua Guaraja,Vila Mazzei,70,2,1,1600,2131,Outro,True,False,False,False
Rua Padre Lebret,Jardim Leonor,87,1,2,4500,6010,Outro,True,False,False,False
Avenida Joao Dias,Santo Amaro,67,2,1,1900,2964,Sul,True,False,False,False
Rua Cristovao Colombo,Outros,45,2,1,1443,1934,Outro,True,False,False,False
Rua Capitao Teofilo,Centro,94,3,1,2200,2926,Outro,True,False,False,False
Rua Avanhandava,Bela Vista,24,1,0,2350,2892,Centro,False,False,False,True
Avenida Nove de Julho,Bela Vista,26,1,0,1250,1629,Centro,False,False,False,True
Rua Catulo da Paixao Cearense,Vila da Saude,75,3,2,3700,5068,Outro,True,False,False,False
Avenida Raimundo Pereira de Magalhaes,Jardim Iris,45,2,0,3000,3621,Outro,True,False,False,False
Rua Jequitinhonha,Outros,85,3,2,2047,2691,Outro,True,False,False,False
Rua Major Rubens Florentino Vaz,Outros,14,1,0,1750,1818,Outro,False,False,False,True
Avenida Sapopemba,Outros,32,2,0,1800,2169,Outro,True,False,False,False
Avenida do Cursino,Outros,63,2,1,2400,2993,Outro,True,False,False,False
Avenida Carlos Ferreira Endres,Outros,50,1,0,916,1000,Outro,True,False,False,False
Rua dos Democratas,Vila Monte Alegre,48,2,1,1900,2774,Outro,True,False,False,False
Rua Dom Estevao Pimentel,Chacara Belenzinho,56,3,1,2000,2937,Outro,True,False,False,False
Rua Alvaro de Carvalho,Centro,26,1,0,2450,2995,Outro,False,False,False,True
Avenida dos Ourives,Outros,43,2,0,1300,1700,Outro,True,False,False,False
Avenida Piassanguaba,Planalto Paulista,27,1,0,1200,1343,Outro,False,True,False,False
Rua Tenente Coronel Soares Neiva,Vila Aricanduva,35,2,0,1481,1788,Outro,True,False,False,False
Rua Dom Paulo Pedrosa,Outros,80,1,1,3000,4206,Outro,True,False,False,False
Rua Gomes de Carvalho,Vila Olimpia,75,3,1,3200,4253,Outro,True,False,False,False
Rua Camargo Aranha,Outros,350,4,2,10400,11660,Outro,False,True,False,False
Rua Alvaro de Carvalho,Centro,37,2,0,2500,3220,Outro,True,False,False,False
Rua 17 de Janeiro,Paraiso do Morumbi,24,1,0,1100,1442,Outro,True,False,False,False
Rua Helvetia,Campos Eliseos,45,1,1,3100,3862,Outro,True,False,False,False
Rua Gravatai,Consolacao,24,1,0,3000,3575,Outro,False,False,False,True
Rua Mourato Coelho,Pinheiros,34,1,1,3231,4083,Oeste,False,False,False,True
Rua Paim,Bela Vista,50,1,1,4000,4918,Centro,True,False,False,False
Rua Casper Libero,Outros,65,3,1,1560,2361,Outro,True,False,False,False
Rua Armando Pinelli,Taboao,54,2,1,1100,1743,Outro,True,False,False,False
Rua Jose Bento,Cambuci,41,2,0,2090,2511,Centro,True,False,False,False
Rua Alves Guimaraes,Pinheiros,33,1,0,3417,4018,Oeste,False,False,False,True
Rua Conde de Sao Joaquim,Bela Vista,35,1,1,1600,2490,Centro,True,False,False,False
Praca Alberto Lion,Cambuci,34,2,0,1443,1829,Centro,True,False,False,False
Rua Francisca Augusta da Rocha,Outros,42,2,0,1000,1126,Outro,False,True,False,False
Rua Danton Vampre,Outros,150,3,1,1880,1960,Outro,False,True,False,False
Avenida Francisco Rodrigues,Vila Constanca,64,2,1,2200,2413,Outro,False,False,True,False
Rua Paulistania,Sumarezinho,31,1,0,2620,3191,Outro,False,False,False,True
Rua Marie Nader Calfat,Jardim Ampliacao,38,1,1,2400,3014,Outro,False,False,False,True
Praca Conde Pedro Leonelli,Outros,57,2,1,1750,2298,Outro,True,False,False,False
Rua Adele Zarzur,Outros,50,1,0,850,887,Outro,False,True,False,False
Rua Jose Pereira Barreto,Outros,45,1,1,1200,1251,Outro,False,True,False,False
Rua Santo Antonio,Bela Vista,29,1,0,1700,2199,Centro,True,False,False,False
Rua Santo Antonio,Bela Vista,37,2,0,2200,2814,Centro,True,False,False,False
Rua Rocha,Bela Vista,29,1,0,1400,1721,Centro,False,False,False,True
Rua Itajai,Mooca,76,3,1,4200,5319,Leste,True,False,False,False
Rua Araguaia,Outros,64,2,1,3600,4459,Outro,True,False,False,False
Rua Barbalha,Outros,14,1,0,700,811,Outro,False,False,False,True
Rua Eugenio de Medeiros,Pinheiros,34,1,1,4850,5677,Oeste,True,False,False,False
Rodovia Raposo Tavares,Outros,55,2,1,1800,2489,Outro,True,False,False,False
Rua das Palmeiras,Vila Buarque,12,1,0,2400,2855,Outro,True,False,False,False
Rua Pascoal Ranieri Mazzilli,Outros,67,2,1,2448,3169,Outro,True,False,False,False
Avenida Condessa Elizabeth de Robiano,Penha de Franca,62,3,1,2100,2731,Outro,True,False,False,False
Avenida Leonardo da Vinci,Vila Guarani (z Sul),50,2,1,1450,2416,Outro,True,False,False,False
Rua Bento Freitas,Republica,22,1,0,2800,3329,Outro,False,False,False,True
Rua Desembargador Euclides da Silveira,Casa Verde,49,1,1,3500,4188,Norte,True,False,False,False
Rua Ribeiro do Vale,Brooklin Paulista,35,1,0,3700,4384,Outro,False,False,False,True
Rua Palestina,Vila Mascote,130,3,1,4000,4311,Outro,False,True,False,False
Avenida Joao Pessoa,Outros,62,2,1,1900,2406,Outro,True,False,False,False
Avenida Vereador Jose Diniz,Santo Amaro,25,1,0,2600,3048,Sul,False,False,False,True
Rua Jose Mandotti,Outros,25,1,1,1800,2418,Outro,False,False,False,True
Rua Joaquim Rodrigues Costa,Vila Maria Alta,25,2,0,1001,1043,Outro,False,True,False,False
Avenida Casper Libero,Centro,27,1,0,2000,2577,Outro,False,False,False,True
Avenida Giovanni Gronchi,Vila Andrade,98,3,2,2442,4507,Sul,True,False,False,False
Rua Bispo Eugenio Demazemod 388 Apto 61,Vila Alpina,49,2,1,1050,1620,Outro,True,False,False,False
Rua Rego Freitas,Republica,20,1,0,1640,2133,Outro,False,False,False,True
Rua Bela Cintra,Consolacao,48,1,1,2600,3597,Outro,True,False,False,False
Rua Guaianases,Campos Eliseos,38,1,1,1500,1998,Outro,True,False,False,False
Rua Barao de Tatui,Vila Buarque,21,1,0,1000,1428,Outro,False,False,False,True
Rua Xavier Krauss,Vila Leopoldina,35,2,0,2550,3017,Oeste,True,False,False,False
Rua Pamplona,Cerqueira Cesar,49,1,1,3000,3967,Outro,True,False,False,False
Rua Professor Arnaldo Joao Semeraro,Outros,64,2,1,1550,2060,Outro,True,False,False,False
Rua Dona Elisa,Barra Funda,70,3,1,4800,5790,Oeste,True,False,False,False
Rua Conego Vicente Miguel Marino,Barra Funda,99,3,2,4500,5566,Oeste,True,False,False,False
Rua Frei Caneca,Consolacao,28,1,0,1700,2366,Outro,False,False,False,True
Rua Gustavo da Silveira,Vila Santa Catarina,160,4,1,3000,3137,Outro,False,True,False,False
Rua Arnaldo Cintra,Outros,49,2,1,1995,2636,Outro,True,False,False,False
Rua Otto de Barros,Vila Santo Estefano,58,2,2,2120,3223,Outro,True,False,False,False
Rua Santa Izabel,Outros,66,2,2,2600,3254,Outro,True,False,False,False
Rua Sao Miguel,Bela Vista,35,1,1,2500,3296,Centro,True,False,False,False
Rua Riskallah Jorge,Centro Historico de Sao Paulo,28,0,0,1207,1647,Outro,False,False,False,True
Rua Nanuque,Vila Leopoldina,115,3,2,4450,6177,Oeste,True,False,False,False
Rua Olimpia de Almeida Prado,Barra Funda,33,1,1,2550,3286,Oeste,False,False,False,True
Rua do Lavapes,Cambuci,45,2,0,2500,3046,Centro,True,False,False,False
Rua Sao Venceslau,Vila Guarani (z Sul),53,2,1,1900,2774,Outro,True,False,False,False
Rua Doutor Cesario Mota Junior,Vila Buarque,30,1,0,1350,1830,Outro,False,False,False,True
Avenida Deputado Emilio Carlos,Outros,49,2,1,1900,2359,Outro,True,False,False,False
Rua Caio Prado,Consolacao,24,1,0,4300,4765,Outro,False,False,False,True
Avenida Joaquina Ramalho,Vila Guilherme,60,3,1,3000,3845,Norte,True,False,False,False
Rua Amandau,Tucuruvi,35,2,0,2500,2976,Norte,True,False,False,False
Rua Conselheiro Lafaiette,Mooca,45,2,0,2400,2993,Leste,True,False,False,False
Rua Cardoso de Almeida,Perdizes,33,1,0,3000,4039,Oeste,True,False,False,False
Rua Leandro Dupre,Vila Clementino,15,1,0,1000,1038,Outro,False,False,False,True
Rua Leoncio da Costa Vieira,Outros,41,2,0,2900,3142,Outro,False,False,False,True
Avenida Mascote,Vila Mascote,86,2,2,4800,5935,Outro,True,False,False,False
Rua Bela Cintra,Consolacao,51,1,1,4000,5189,Outro,True,False,False,False
Rua Gomes de Carvalho,Vila Olimpia,30,1,1,3000,3751,Outro,False,False,False,True
Avenida Vereador Jose Diniz,Santo Amaro,47,1,1,2799,3526,Sul,True,False,False,False
Rua Batataes,Jardim Paulista,54,1,2,3466,6316,Oeste,True,False,False,False
Rua Augusta,Cerqueira Cesar,35,1,1,2800,3661,Outro,True,False,False,False
Rua Cardoso de Almeida,Perdizes,33,1,0,3000,4116,Oeste,False,False,False,True
Rua Doutor Plinio Barreto,Bela Vista,60,2,1,5500,6504,Centro,True,False,False,False
Rua Azevedo Soares,Vila Gomes Cardim,82,3,1,3000,4040,Outro,True,False,False,False
Rua Luis Correia de Melo,Outros,58,2,1,3500,4479,Outro,True,False,False,False
R. Mal. Barbacena,Outros,78,1,1,3950,5182,Outro,True,False,False,False
Rua Marilia de Dirceu,Jardim Aeroporto,200,2,1,8000,8398,Outro,False,True,False,False
Rua Marie Nader Calfat 270,Jardim Ampliacao,32,1,0,2370,2962,Outro,False,False,False,True
Avenida Amador Bueno da Veiga,Penha de Franca,58,2,1,2500,3476,Outro,True,False,False,False
Rua da Consolacao,Consolacao,65,2,0,2100,2831,Outro,True,False,False,False
Rua Itamonte,Vila Medeiros,58,3,1,3800,4536,Norte,True,False,False,False
Rua Sena Madureira,Vila Clementino,68,3,1,5200,6684,Outro,True,False,False,False
Rua Cayowaa,Perdizes,83,3,2,3600,5242,Oeste,True,False,False,False
Rua Engenheiro Isaac Garcez,Rudge Ramos,184,3,2,3800,4626,Outro,True,False,False,False
Rua Cayowaa,Perdizes,68,3,1,3000,4182,Oeste,True,False,False,False
Avenida Diogenes Ribeiro de Lima,Outros,64,2,2,3000,4480,Outro,True,False,False,False
Rua Antonio Gomes Ferreira,Sacoma,33,2,0,1700,2095,Outro,True,False,False,False
Avenida Padres Olivetanos,Vila Esperanca,73,3,1,2700,4093,Outro,True,False,False,False
Rua Gabriele Dannunzio,Campo Belo,35,1,1,3800,4637,Sul,False,False,False,True
Rua Francisca Julia,Santana,50,2,1,1900,2685,Norte,True,False,False,False
Rua Bruno Cavalcanti Feder,Outros,50,2,1,1700,2321,Outro,True,False,False,False
Rua Alves Guimaraes,Pinheiros,25,1,0,2500,2986,Oeste,False,False,False,True
Rua Elza Guimaraes,Outros,48,2,0,1100,1542,Outro,True,False,False,False
Rua Franklin Magalhaes,Vila Santa Catarina,15,1,0,750,846,Outro,False,True,False,False
Rua Delfina da Cunha,Outros,30,2,2,2430,2725,Outro,False,True,False,False
Rua Eugenia Sa Vitale,Outros,53,2,1,2200,2968,Outro,True,False,False,False
Rua Doutor Gabriel de Resende Filho,Outros,25,2,0,1400,1614,Outro,True,False,False,False
Rua Correia Dias,Paraiso,23,1,0,4000,4061,Outro,False,False,False,True
Rua Vergueiro,Outros,63,3,1,1500,2732,Outro,True,False,False,False
Rua Barata Ribeiro,Bela Vista,16,1,0,3700,4459,Centro,False,False,False,True
Rua Doutor Teodoro Baima,Republica,20,1,0,2500,2912,Outro,True,False,False,False
Rua Salto,Paraiso,33,1,1,1850,3340,Outro,False,False,False,True
Rua Nicolau Barreto,Outros,50,1,1,5400,6258,Outro,True,False,False,False
Rua Malie Brenner,Outros,32,1,0,1600,1871,Outro,True,False,False,False
Avenida Duque de Caxias,Campos Eliseos,36,1,1,2200,3232,Outro,True,False,False,False
Rua Vicente Ferreira Leite,Outros,47,2,1,1650,2187,Outro,True,False,False,False
Rua Jaguarete,Casa Verde,54,2,1,4200,4954,Norte,True,False,False,False
Rua Batataes,Jardim Paulista,34,1,1,4000,5288,Oeste,False,False,False,True
Rua Fiandeiras,Vila Olimpia,42,1,1,2300,4056,Outro,True,False,False,False
Rua Conselheiro Brotero,Santa Cecilia,30,1,1,3300,4132,Outro,True,False,False,False
Rua Santa Justina,Vila Olimpia,33,1,1,3150,4658,Outro,False,False,False,True
Rua Kansas,Brooklin Paulista,84,2,2,7990,9832,Outro,True,False,False,False
